cuisine_type,rest_address,rest_name
"           Asian, Japanese, Thai, Pan Asian         ","Lavelle Road, Bangalore",             Kazé           
"           American, Asian, Continental         ","Sarjapur Road, Bangalore",             Tapout Tavern           
"           Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese, Oriental         ","Infantry Road, Bangalore",             1Q1           
           Asian         ,"St. Marks Road, Bangalore",             MISU           
"           Asian, North Indian, Thai         ","Barton Centre, Bangalore",             The 13th Floor           
"           American, Chinese, Continental, North Indian         ","Rajajinagar, Bangalore",             Stories           
"           Asian, Burmese         ","Indiranagar, Bangalore",             Burma Burma           
"           North Indian, Chinese, Continental         ","Indiranagar, Bangalore",             Urban Tamaasha           
           North Indian         ,"BTM, Bangalore",             Nasta Wasta           
"           Cafe, Desserts, Beverages         ","Koramangala 5th Block, Bangalore",             Tella Tales           
"           North Indian, Chinese, Continental         ","Marathahalli, Bangalore",             Foxtrot Gastropub           
"           Italian, Seafood, American, Continental         ","Indiranagar, Bangalore",             Jonah's           
"           Mediterranean, Pizza, Continental, Seafood, Salad         ","Koramangala 7th Block, Bangalore",             Fenny's Lounge And Kitchen           
"           Continental, North Indian, BBQ, Steak         ","Soul Space Arena Mall, Marathahalli, Bangalore",             The Brew and Barbeque           
"           Cafe, Desserts         ","Indiranagar, Bangalore",             Lavonne           
"           Healthy Food, North Indian         ","Whitefield, Bangalore",             The Paratha Company           
"           North Indian, European, Mediterranean         ","Koramangala 5th Block, Bangalore",             The Black Pearl           
"           North Indian, Continental, Finger Food, American         ","Jayanagar, Bangalore",             Brew Meister           
"           South Indian, North Indian, Andhra, Biryani         ","Marathahalli, Bangalore",             Konaseema Kitchen           
"           Finger Food, Continental         ","Sarjapur Road, Bangalore",             La Casa Brewery           
"           Continental, North Indian         ","Brigade Road, Bangalore",             Double Decker           
"           Biryani, North Indian         ","HSR, Bangalore",             Oh My Biryani           
"           North Indian, Thai, Japanese, Continental         ","Cunningham Road, Bangalore",             Hammered           
"           European, North Indian, Mediterranean, Asian, Salad         ","St. Marks Road, Bangalore",             The Open Box           
"           Asian, Korean, Indonesian, Japanese, Chinese, Thai         ","Banashankari, Bangalore",             Wamama           
"           Continental, Mexican, North Indian, Mughlai         ","HSR, Bangalore",             Baithak           
"           North Indian, Mughlai         ","Orion Mall, Malleshwaram, Bangalore",             Punjab Grill           
           Finger Food         ," Zone By The Park, Electronic City, Bangalore",             Z-Bar           
"           Thai, Japanese, Korean, Burmese, Chinese         ","1 MG Road Mall, MG Road, Bangalore",             The Tao Terraces           
"           Asian, Bakery, Middle Eastern, European, Gujarati, North Indian, Desserts, Pizza         ","Bellandur, Bangalore",             Maia - Eat | Bake | Mom           
